# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
pgxl;60;1440260190;482380;30505440;98.44;0;29419904;9387752;30.29;13198536;16375560;32
pgxl;60;1440260250;529492;30458328;98.29;0;29422016;9324584;30.09;13154648;16373140;28
pgxl;60;1440260310;528316;30459504;98.30;0;29422596;9325664;30.09;13155732;16373076;60
pgxl;60;1440260370;527728;30460092;98.30;0;29422892;9333848;30.12;13156156;16373084;28
pgxl;60;1440260430;526768;30461052;98.30;0;29423156;9333996;30.12;13156760;16373032;52
pgxl;60;1440260490;526372;30461448;98.30;0;29423432;9334000;30.12;13156904;16373036;28
pgxl;60;1440260550;524676;30463144;98.31;0;29423704;9333992;30.12;13159380;16373052;28
pgxl;60;1440260610;523736;30464084;98.31;0;29423988;9334008;30.12;13159428;16373068;28
pgxl;60;1440260670;523012;30464808;98.31;0;29424284;9333996;30.12;13159844;16373072;28
pgxl;60;1440260730;518968;30468852;98.33;0;29424560;9334000;30.12;13164060;16373052;28
pgxl;60;1440260790;519928;30467892;98.32;0;29424848;9332444;30.12;13163180;16373060;36
pgxl;60;1440260850;518008;30469812;98.33;0;29425624;9333996;30.12;13164944;16373572;28
pgxl;60;1440260910;517764;30470056;98.33;0;29425876;9333996;30.12;13165332;16373512;28
pgxl;60;1440260970;517804;30470016;98.33;0;29426128;9333992;30.12;13165636;16373528;28
pgxl;60;1440261030;517332;30470488;98.33;0;29426420;9334020;30.12;13165732;16373588;48
pgxl;60;1440261090;516380;30471440;98.33;0;29426712;9334176;30.12;13166292;16373592;28
pgxl;60;1440261150;517504;30470316;98.33;0;29427000;9324732;30.09;13167112;16372528;28
pgxl;60;1440261210;517104;30470716;98.33;0;29427296;9332940;30.12;13167320;16372548;28
pgxl;60;1440261270;515316;30472504;98.34;0;29427524;9332936;30.12;13167676;16372476;28
pgxl;60;1440261330;515956;30471864;98.33;0;29427812;9332932;30.12;13168184;16372548;28
pgxl;60;1440261390;515008;30472812;98.34;0;29429120;9323108;30.09;13170344;16371760;40
pgxl;60;1440261450;513220;30474600;98.34;0;29429884;9323636;30.09;13171368;16372040;40
pgxl;60;1440261510;512132;30475688;98.35;0;29430244;9331828;30.11;13172036;16372024;28
pgxl;60;1440261570;511320;30476500;98.35;0;29430548;9331836;30.11;13172256;16372000;28
pgxl;60;1440261630;511920;30475900;98.35;0;29430912;9331832;30.11;13172588;16372072;52
pgxl;60;1440261690;511196;30476624;98.35;0;29431256;9324656;30.09;13174084;16371924;48
pgxl;60;1440261750;510624;30477196;98.35;0;29431668;9324516;30.09;13174352;16371712;28
pgxl;60;1440261810;509808;30478012;98.35;0;29431996;9332704;30.12;13174732;16371716;28
pgxl;60;1440261870;508800;30479020;98.36;0;29432340;9332708;30.12;13175124;16371756;28
pgxl;60;1440261930;508076;30479744;98.36;0;29432692;9332900;30.12;13175684;16371776;28
pgxl;60;1440261990;508288;30479532;98.36;0;29433280;9324684;30.09;13176452;16372020;28
pgxl;60;1440262050;507728;30480092;98.36;0;29433648;9332872;30.12;13176648;16372056;28
pgxl;60;1440262110;509536;30478284;98.36;0;29433852;9323416;30.09;13176068;16371980;40
pgxl;60;1440262170;508588;30479232;98.36;0;29434304;9323308;30.09;13176320;16372236;28
pgxl;60;1440262230;506200;30481620;98.37;0;29434564;9325104;30.09;13178148;16372212;48
pgxl;60;1440262290;1146156;29841664;96.30;0;28797628;9322372;30.08;13178552;15732988;1780
pgxl;60;1440262350;1123168;29864652;96.38;0;28801340;9324860;30.09;13200664;15733552;2848
pgxl;60;1440262410;1123912;29863908;96.37;0;28801700;9322896;30.09;13199752;15733460;28
pgxl;60;1440262470;1105632;29882188;96.43;0;28802668;9349028;30.17;13218120;15734204;40
pgxl;60;1440262530;2968220;28019600;90.42;0;26943576;9323852;30.09;13212928;13874464;44
pgxl;60;1440262590;2968080;28019740;90.42;0;26943808;9324112;30.09;13215580;13874440;40
