2015-08-22 13:24:40 EDT [21132]: [3-1] user=mark,db=dbt3,app=psql,client=[local] LOG:  Getting detailed statistics for pg_temp_8.tmp_orderkey3
2015-08-22 13:24:40 EDT [21132]: [4-1] user=mark,db=dbt3,app=psql,client=[local] STATEMENT:  ANALYZE tmp_orderkey3;
2015-08-22 13:28:02 EDT [17446]: [11-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2015-08-22 13:28:04 EDT [17446]: [12-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 27 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=2.624 s, sync=0.017 s, total=2.646 s; sync files=21, longest=0.001 s, average=0.000 s; distance=110 kB, estimate=138 kB
2015-08-22 13:33:03 EDT [17446]: [13-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2015-08-22 13:33:05 EDT [17446]: [14-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 22 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=2.118 s, sync=0.017 s, total=2.140 s; sync files=16, longest=0.003 s, average=0.001 s; distance=115 kB, estimate=135 kB
2015-08-22 13:38:03 EDT [17446]: [15-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2015-08-22 13:38:03 EDT [17446]: [16-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 0 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.010 s, sync=0.000 s, total=0.016 s; sync files=0, longest=0.000 s, average=0.000 s; distance=3 kB, estimate=122 kB
2015-08-22 13:43:03 EDT [17446]: [17-1] user=,db=,app=,client= LOG:  checkpoint starting: time
2015-08-22 13:43:03 EDT [17446]: [18-1] user=,db=,app=,client= LOG:  checkpoint complete: wrote 5 buffers (0.0%); 0 transaction log file(s) added, 0 removed, 0 recycled; write=0.411 s, sync=0.005 s, total=0.422 s; sync files=5, longest=0.002 s, average=0.001 s; distance=35 kB, estimate=113 kB
2015-08-22 13:47:33 EDT [23167]: [1-1] user=,db=,app=,client= LOG:  Getting relation statistics for public.time_statistics
2015-08-22 13:47:33 EDT [23167]: [2-1] user=,db=,app=,client= LOG:  Getting detailed statistics for public.time_statistics
