# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
pgxl7;60;1440262743;eth0;209.12;230.25;61.22;55.52;0.00;0.00;0.00
pgxl7;60;1440262743;lo;44.82;44.82;10.38;10.38;0.00;0.00;0.00
pgxl7;60;1440262803;eth0;393.12;423.90;88.47;106.17;0.00;0.00;0.00
pgxl7;60;1440262803;lo;66.42;66.42;13.37;13.37;0.00;0.00;0.00
pgxl7;60;1440262863;eth0;786.13;767.65;229.55;229.51;0.00;0.00;0.00
pgxl7;60;1440262863;lo;118.58;118.58;33.39;33.39;0.00;0.00;0.00
pgxl7;60;1440262923;eth0;924.07;933.87;253.02;266.47;0.00;0.00;0.00
pgxl7;60;1440262923;lo;140.53;140.53;37.29;37.29;0.00;0.00;0.00
pgxl7;60;1440262983;eth0;7192.60;7188.17;8261.02;8355.83;0.00;0.00;0.00
pgxl7;60;1440262983;lo;961.58;961.58;1181.20;1181.20;0.00;0.00;0.00
pgxl7;60;1440263043;eth0;12654.35;12829.53;17694.04;20073.06;0.00;0.00;0.00
pgxl7;60;1440263043;lo;1569.50;1569.50;2516.29;2516.29;0.00;0.00;0.00
pgxl7;60;1440263103;eth0;151.85;151.03;448.65;451.75;0.00;0.00;0.00
pgxl7;60;1440263103;lo;33.95;33.95;70.11;70.11;0.00;0.00;0.00
pgxl7;60;1440263163;eth0;45.68;44.75;114.15;116.99;0.00;0.00;0.00
pgxl7;60;1440263163;lo;11.97;11.97;17.54;17.54;0.00;0.00;0.00
pgxl7;60;1440263223;eth0;39.35;87.57;2.63;596.46;0.00;0.00;0.00
pgxl7;60;1440263223;lo;5.97;5.97;1.22;1.22;0.00;0.00;0.00
pgxl7;60;1440263283;eth0;851.67;917.30;97.91;1005.80;0.00;0.00;0.00
pgxl7;60;1440263283;lo;122.17;122.17;14.95;14.95;0.00;0.00;0.00
pgxl7;60;1440263343;eth0;661.47;659.00;78.01;87.07;0.00;0.00;0.00
pgxl7;60;1440263343;lo;101.03;101.03;12.63;12.63;0.00;0.00;0.00
pgxl7;60;1440263403;eth0;9.55;9.33;0.92;4.30;0.00;0.00;0.00
pgxl7;60;1440263403;lo;10.20;10.20;1.68;1.68;0.00;0.00;0.00
pgxl7;60;1440263463;eth0;10.98;12.18;2.62;22.38;0.00;0.00;0.00
pgxl7;60;1440263463;lo;6.28;6.28;1.43;1.43;0.00;0.00;0.00
pgxl7;60;1440263523;eth0;11.57;12.78;6.84;27.18;0.00;0.00;0.00
pgxl7;60;1440263523;lo;10.13;10.13;3.34;3.34;0.00;0.00;0.00
pgxl7;60;1440263583;eth0;2019.33;1545.40;12213.47;7319.76;0.00;0.00;0.00
pgxl7;60;1440263583;lo;338.87;338.87;1701.62;1701.62;0.00;0.00;0.00
pgxl7;60;1440263643;eth0;3885.93;3625.75;12196.16;12059.81;0.00;0.00;0.00
pgxl7;60;1440263643;lo;541.65;541.65;1722.90;1722.90;0.00;0.00;0.00
pgxl7;60;1440263703;eth0;12524.30;12479.18;23711.20;24003.91;0.00;0.00;0.00
pgxl7;60;1440263703;lo;1615.57;1615.57;3393.95;3393.95;0.00;0.00;0.00
pgxl7;60;1440263763;eth0;8051.70;8018.22;17584.77;17750.64;0.00;0.00;0.00
pgxl7;60;1440263763;lo;1024.95;1024.95;2509.56;2509.56;0.00;0.00;0.00
pgxl7;60;1440263823;eth0;875.60;868.40;4874.81;4878.67;0.00;0.00;0.00
pgxl7;60;1440263823;lo;119.05;119.05;687.37;687.37;0.00;0.00;0.00
pgxl7;60;1440263883;eth0;956.28;986.42;5216.31;5769.86;0.00;0.00;0.00
