# hostname;interval;timestamp;kbmemfree;kbmemused;%memused;kbbuffers;kbcached;kbcommit;%commit;kbactive;kbinact;kbdirty
pgxl7;60;1440257523;29470108;1517712;4.90;0;1150684;9057564;29.23;486064;740608;132756
pgxl7;60;1440257583;28410688;2577132;8.32;0;2035476;9250512;29.85;1207436;1053900;169412
pgxl7;60;1440257643;27610128;3377692;10.90;0;2933468;9107772;29.39;1656392;1377288;563972
pgxl7;60;1440257703;26440016;4547804;14.68;0;3845292;9374504;30.25;2449020;1723328;366524
pgxl7;60;1440257763;25423500;5564320;17.96;0;4669436;9527712;30.75;3243096;1909872;315640
pgxl7;60;1440257823;23885956;7101864;22.92;0;5762480;10052528;32.44;4647156;2022844;384172
pgxl7;60;1440257883;22505500;8482320;27.37;0;6940836;10105492;32.61;6117128;1897792;590688
pgxl7;60;1440257943;21794976;9192844;29.67;0;7666444;10069136;32.49;6848624;1855628;464432
pgxl7;60;1440258003;21917488;9070332;29.27;0;8393784;9193372;29.67;6783888;1778952;390176
pgxl7;60;1440258063;21182524;9805296;31.64;0;9102640;9196912;29.68;7499672;1777848;420020
pgxl7;60;1440258123;20466188;10521632;33.95;0;9800044;9193704;29.67;8256336;1717704;373216
pgxl7;60;1440258183;19719696;11268124;36.36;0;10483428;9264652;29.90;8966492;1733360;291988
pgxl7;60;1440258243;16567776;14420044;46.53;0;12830536;10215744;32.97;10432896;3389400;308856
pgxl7;60;1440258303;14028120;16959700;54.73;0;13928128;11505628;37.13;12692836;3612056;595732
pgxl7;60;1440258363;11666192;19321628;62.35;0;15564084;12823584;41.38;13870144;4754204;773328
pgxl7;60;1440258423;10627112;20360708;65.71;0;16737476;12039936;38.85;14490796;5139744;441348
pgxl7;60;1440258483;9790540;21197280;68.41;0;18202168;11273244;36.38;17519432;2928820;233000
pgxl7;60;1440258543;10245104;20742716;66.94;0;18692300;10308092;33.26;17058656;2921748;346192
pgxl7;60;1440258603;9580260;21407560;69.08;0;19194596;10452456;33.73;18079688;2555000;101912
pgxl7;60;1440258663;10332068;20655752;66.66;0;19693308;9184500;29.64;17314716;2556540;4472
pgxl7;60;1440258723;9822156;21165664;68.30;0;20189788;9184692;29.64;17812944;2555076;358572
pgxl7;60;1440258783;9325228;21662592;69.91;0;20676844;9179716;29.62;18308024;2544712;347664
pgxl7;60;1440258843;7934524;23053296;74.39;0;21180544;10052820;32.44;19758544;2479144;323028
pgxl7;60;1440258903;8152820;22835000;73.69;0;21673132;9359856;30.20;19596736;2411300;248704
pgxl7;60;1440258963;6780788;24207032;78.12;0;22206056;10161460;32.79;20967860;2399148;229336
pgxl7;60;1440259023;5618004;25369816;81.87;0;22709476;10792612;34.83;22109460;2405008;250756
pgxl7;60;1440259083;5080280;25907540;83.61;0;23198808;10827324;34.94;22739860;2301128;208960
pgxl7;60;1440259143;4563928;26423892;85.27;0;23701960;10827516;34.94;23235692;2308600;78516
pgxl7;60;1440259203;4116204;26871616;86.72;0;24188072;10779532;34.79;23855560;2129672;54464
pgxl7;60;1440259263;3592516;27395304;88.41;0;24720828;10755444;34.71;24363752;2131256;414356
pgxl7;60;1440259323;3042884;27944936;90.18;0;25254864;10755900;34.71;24910840;2119036;347148
pgxl7;60;1440259383;2920952;28066868;90.57;0;25375588;10754684;34.71;25037528;2112372;6276352
pgxl7;60;1440259443;228288;30759532;99.26;0;23970980;16252800;52.45;19059684;10789228;2583200
pgxl7;60;1440259503;210952;30776868;99.32;0;23224332;16380700;52.86;20804872;9075092;88
pgxl7;60;1440259563;220252;30767568;99.29;0;9333688;31103332;100.37;25104644;5143464;84
pgxl7;60;1440259623;1311256;29676564;95.77;0;5586816;38013752;122.67;25732336;3533724;7436
pgxl7;60;1440259683;4059508;26928312;86.90;0;9420048;29460348;95.07;19064684;7336920;1353056
pgxl7;60;1440259743;11345892;19641928;63.39;0;13789920;15605916;50.36;8770504;10251096;564212
pgxl7;60;1440259803;13410340;17577480;56.72;0;16860472;10133692;32.70;3654940;13313764;1120
pgxl7;60;1440259863;9832488;21155332;68.27;0;20436828;10134292;32.70;3656924;16888912;24
pgxl7;60;1440259923;6252544;24735276;79.82;0;24016504;10134300;32.70;3910448;20214820;740
pgxl7;60;1440259983;3682156;27305664;88.12;0;25707376;9968600;32.17;24112904;2582144;108
pgxl7;60;1440260043;4562984;26424836;85.27;0;25708128;9082812;29.31;23233064;2582836;92
