# hostname;interval;timestamp;IFACE;rxpck/s;txpck/s;rxkB/s;txkB/s;rxcmp/s;txcmp/s;rxmcst/s
pgxl7;60;1440260190;eth0;31.18;20.73;202.69;2.73;0.00;0.00;0.00
pgxl7;60;1440260190;lo;10.18;10.18;1.79;1.79;0.00;0.00;0.00
pgxl7;60;1440260250;eth0;151.22;146.62;516.81;526.36;0.00;0.00;0.00
pgxl7;60;1440260250;lo;44.87;44.87;78.14;78.14;0.00;0.00;0.00
pgxl7;60;1440260310;eth0;2221.52;2236.80;2337.45;2368.77;0.00;0.00;0.00
pgxl7;60;1440260310;lo;337.13;337.13;342.09;342.09;0.00;0.00;0.00
pgxl7;60;1440260370;eth0;1130.58;1123.73;6793.58;6869.39;0.00;0.00;0.00
pgxl7;60;1440260370;lo;205.83;205.83;1046.85;1046.85;0.00;0.00;0.00
pgxl7;60;1440260430;eth0;1133.83;1137.53;6917.93;6972.06;0.00;0.00;0.00
pgxl7;60;1440260430;lo;178.13;178.13;1022.64;1022.64;0.00;0.00;0.00
pgxl7;60;1440260490;eth0;1164.87;1129.83;6884.90;6978.46;0.00;0.00;0.00
pgxl7;60;1440260490;lo;157.02;157.02;983.82;983.82;0.00;0.00;0.00
pgxl7;60;1440260550;eth0;1195.07;1196.58;7055.21;7048.28;0.00;0.00;0.00
pgxl7;60;1440260550;lo;187.22;187.22;1026.02;1026.02;0.00;0.00;0.00
pgxl7;60;1440260610;eth0;1163.82;1141.82;6944.53;7068.78;0.00;0.00;0.00
pgxl7;60;1440260610;lo;169.12;169.12;995.30;995.30;0.00;0.00;0.00
pgxl7;60;1440260670;eth0;1133.40;1161.28;6980.21;6981.02;0.00;0.00;0.00
pgxl7;60;1440260670;lo;162.30;162.30;991.01;991.01;0.00;0.00;0.00
pgxl7;60;1440260730;eth0;1135.97;1123.23;6818.42;6890.13;0.00;0.00;0.00
pgxl7;60;1440260730;lo;155.92;155.92;975.45;975.45;0.00;0.00;0.00
pgxl7;60;1440260790;eth0;1134.27;1110.70;6723.73;6804.09;0.00;0.00;0.00
pgxl7;60;1440260790;lo;154.87;154.87;964.88;964.88;0.00;0.00;0.00
pgxl7;60;1440260850;eth0;1094.52;1055.10;6383.64;6522.51;0.00;0.00;0.00
pgxl7;60;1440260850;lo;148.07;148.07;916.94;916.94;0.00;0.00;0.00
pgxl7;60;1440260910;eth0;1037.97;1040.15;6346.62;6405.97;0.00;0.00;0.00
