Linux 3.10.0-229.el7.x86_64 (pgxl4) 	08/22/2015 	_x86_64_	(4 CPU)

11:31:03 AM     CPU     %user     %nice   %system   %iowait    %steal     %idle
11:32:03 AM     all      4.67      0.00      2.54      1.74      0.08     90.97
11:33:03 AM     all      4.68      0.00      1.32      2.88      0.11     91.00
11:34:03 AM     all     17.40      0.00      1.60      4.89      0.10     76.02
11:35:03 AM     all      5.48      0.00      1.59      4.64      0.12     88.17
11:36:03 AM     all      5.11      0.00      1.56      3.51      0.12     89.71
11:37:03 AM     all     46.13      0.00      2.16      2.73      0.06     48.92
11:38:03 AM     all     34.24      0.00      2.12      5.56      0.08     58.00
11:39:03 AM     all     52.79      0.00      1.82      3.27      0.07     42.05
11:40:03 AM     all      5.46      0.00      1.45      4.52      0.11     88.46
11:41:03 AM     all      4.91      0.00      1.40      3.83      0.11     89.75
11:42:03 AM     all      5.16      0.00      1.45      4.97      0.12     88.30
11:43:03 AM     all      5.15      0.00      1.38      4.05      0.12     89.31
11:44:03 AM     all      8.70      0.00      1.91      3.17      0.14     86.08
11:45:03 AM     all     41.08      0.00      2.63     16.54      0.08     39.67
11:46:03 AM     all     34.69      0.00      4.36     18.43      0.13     42.40
11:47:03 AM     all     56.07      0.00      4.39     14.21      0.08     25.25
11:48:03 AM     all     67.02      0.00      3.81      5.92      0.06     23.17
11:49:03 AM     all     53.42      0.00      1.42      4.83      0.07     40.26
11:50:03 AM     all     31.88      0.00      1.07      2.06      0.09     64.90
11:51:03 AM     all     12.95      0.00      0.86      1.70      0.16     84.32
11:52:03 AM     all      5.42      0.00      0.82      1.68      0.17     91.91
11:53:03 AM     all      5.37      0.00      0.85      1.87      0.17     91.73
11:54:03 AM     all      5.40      0.00      0.84      1.85      0.17     91.74
11:55:03 AM     all      5.39      0.00      0.81      1.69      0.18     91.93
11:56:03 AM     all      5.76      0.00      0.87      2.45      0.19     90.73
11:57:03 AM     all      5.33      0.00      0.81      1.51      0.18     92.18
11:58:03 AM     all      5.33      0.00      0.83      1.87      0.18     91.80
11:59:03 AM     all      5.35      0.00      0.80      2.28      0.17     91.40
12:00:03 PM     all      5.41      0.00      0.83      1.85      0.18     91.72
12:01:03 PM     all      5.77      0.00      0.87      1.12      0.15     92.09
12:02:03 PM     all      5.88      0.00      0.88      2.45      0.20     90.58
12:03:03 PM     all      3.98      0.00      2.07     30.37      0.09     63.50
12:04:03 PM     all     17.61      0.00      1.84     31.63      0.04     48.87
12:05:03 PM     all     26.14      0.00      4.03     27.97      0.04     41.82
12:06:03 PM     all     85.08      0.00     14.66      0.00      0.00      0.26
12:07:03 PM     all     85.49      0.00      4.99      8.30      0.02      1.20
12:08:03 PM     all     27.69      0.00      2.37     35.74      0.05     34.14
12:09:03 PM     all      0.03      0.00      0.60      9.11      0.02     90.25
12:10:03 PM     all      0.56      0.00      0.83     18.93      0.03     79.65
12:11:03 PM     all      0.74      0.00      1.00     24.40      0.03     73.82
12:12:03 PM     all      1.36      0.00      1.37     23.97      0.05     73.26
12:13:03 PM     all      0.02      0.00      0.19     25.35      0.04     74.40
12:14:03 PM     all     13.78      0.00      1.93      9.02      0.01     75.25
