ctime,pid,usesysid,application_name,client_addr,client_port,backend_start,xact_start,query_start,waiting,query,state,state_change
946684800,5604,10,pgxc,10.93.131.148,59541,2015-08-22 12:58:03.073305-04,,2015-08-22 12:58:03.08192-04,f,RESET ALL;RESET SESSION AUTHORIZATION;RESET transaction_isolation;,idle,2015-08-22 12:58:03.11679-04
946684800,5644,10,psql,10.93.131.148,59585,2015-08-22 12:58:04.45246-04,,2015-08-22 12:58:04.465718-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, pid, usesysid, application_name, client_addr, client_port, backend_start, xact_start, query_start, waiting, query , state, state_change FROM pg_stat_activity) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-22 12:58:04.465721-04
946684800,5645,10,psql,10.93.131.148,59588,2015-08-22 12:58:04.462691-04,,2015-08-22 12:58:04.480479-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, relname, pid, mode, granted FROM pg_locks, pg_class WHERE relfilenode = relation ORDER BY relname) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-22 12:58:04.480497-04
946684800,5646,10,psql,10.93.131.148,59589,2015-08-22 12:58:04.463742-04,,2015-08-22 12:58:04.480701-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, a.indexrelname, idx_scan, idx_tup_read, idx_tup_fetch, idx_blks_read, idx_blks_hit FROM pg_stat_all_indexes a, pg_statio_all_indexes b WHERE a.indexrelid = b.indexrelid) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-22 12:58:04.480703-04
946684800,5647,10,psql,10.93.131.148,59593,2015-08-22 12:58:04.467146-04,,2015-08-22 12:58:04.483056-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, numbackends, xact_commit, xact_rollback, blks_read, blks_hit, tup_returned, tup_fetched, tup_inserted, tup_updated, tup_deleted FROM pg_stat_database) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-22 12:58:04.483058-04
946684800,5648,10,psql,10.93.131.148,59607,2015-08-22 12:58:04.479057-04,,2015-08-22 12:58:04.489493-04,f,"COPY (SELECT EXTRACT(EPOCH FROM TRANSACTION_TIMESTAMP()) AS ctime, a.schemaname, a.relname, seq_scan, seq_tup_read, idx_scan, idx_tup_fetch, n_tup_ins, n_tup_upd, n_tup_del, n_tup_hot_upd, n_live_tup, n_dead_tup, heap_blks_read, heap_blks_hit, idx_blks_read, idx_blks_hit, toast_blks_read, toast_blks_hit, tidx_blks_read, tidx_blks_hit FROM pg_statio_all_tables a, pg_stat_all_tables b WHERE a.relid = b.relid) TO STDOUT (FORMAT CSV, HEADER);",active,2015-08-22 12:58:04.489496-04
946684800,5604,10,pgxc,10.93.131.148,59541,2015-08-22 12:58:03.073305-04,2015-08-22 12:58:14.401091-04,2015-08-22 12:58:14.438118-04,f,Remote Subplan,active,2015-08-22 12:58:14.812513-04
946684800,5649,10,pgxc,10.93.131.148,59749,2015-08-22 12:58:14.885823-04,2015-08-22 12:58:14.933419-04,2015-08-22 12:58:14.936892-04,f,Remote Subplan,active,2015-08-22 12:58:15.111583-04
946684800,5650,10,pgxc,10.93.131.148,59773,2015-08-22 12:58:15.143712-04,2015-08-22 12:58:15.147195-04,2015-08-22 12:58:15.158427-04,f,Remote Subplan,active,2015-08-22 12:58:15.405096-04
946684800,5651,10,pgxc,10.93.131.148,59794,2015-08-22 12:58:15.774629-04,2015-08-22 12:58:15.161512-04,2015-08-22 12:58:15.16473-04,f,Remote Subplan,active,2015-08-22 12:58:15.792707-04
